,Shiro BME,Famouz BME,NcSlasher BME,BerserX BME,dos9 BME
Art DFM,4 9 -5,4 6 -2,5 5 +0,0 7 -7,4 6 -2
gyen DFM,5 7 -2,6 7 -1,3 5 -2,5 3 +2,7 9 -2
Akame DFM,6 5 +1,5 6 -1,5 6 -1,8 7 +1,4 6 -2
Meiy DFM,7 10 -3,6 4 +2,7 11 -4,4 4 +0,9 6 +3
Jinboong DFM,2 8 -6,3 9 -6,4 3 +1,7 4 +3,3 7 -4
