,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
Melser KRÜ,1 1 +0,,0 1 -1,,
adverso KRÜ,1 1 +0,,0 1 -1,,
Mazino KRÜ,0 4 -4,,0 1 -1,1 0 +1,1 1 +0
Shyy KRÜ,0 1 -1,1 0 +1,,1 0 +1,1 0 +1
keznit KRÜ,3 2 +1,,1 0 +1,,
