,yay EG,supamen EG,icy EG,Derrek EG,NaturE EG
Melser KRÜ,,,,,
adverso KRÜ,,,,,
Mazino KRÜ,0 1 -1,,0 2 -2,,
Shyy KRÜ,0 1 -1,,,,
keznit KRÜ,1 0 +1,1 0 +1,1 2 -1,,
