,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,5,2,,,1,,,,,46,8,0
BuZz T1,,5,1,,,1,,,,,42,3,1
Meteor T1,,5,3,,,1,,,,,48,1,0
iZu T1,,6,1,2,,,,,1,,70,2,2
DH T1,,4,,1,,1,1,,,,61,4,1
Jinboong DFM,,5,4,,,1,,,,,55,1,1
Meiy DFM,,8,3,,,,,,,,57,0,1
Akame DFM,,4,,,,,,,,,39,3,0
SSeeS DFM,,1,1,,,,,,,,39,4,2
gyen DFM,,4,,,,,,,,,56,2,0
