,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM,Jinboong DFM
iZu T1,2 2 +0,2 4 -2,5 1 +4,4 2 +2,1 5 -4
Meteor T1,2 3 -1,2 3 -1,2 2 +0,4 2 +2,4 5 -1
DH T1,1 3 -2,4 3 +1,2 2 +0,2 1 +1,3 3 +0
BuZz T1,6 0 +6,2 7 -5,4 2 +2,3 2 +1,2 5 -3
stax T1,4 5 -1,5 4 +1,2 0 +2,1 1 +0,3 5 -2
