,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM,Jinboong DFM
iZu T1,,,,,
Meteor T1,0 1 -1,,,,
DH T1,,,,,
BuZz T1,,1 2 -1,,,1 0 +1
stax T1,,0 1 -1,,,
