,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM,Jinboong DFM
iZu T1,5 7 -2,6 6 +0,8 2 +6,8 5 +3,6 5 +1
Meteor T1,3 6 -3,5 5 +0,5 6 -1,11 5 +6,5 6 -1
DH T1,4 4 +0,8 8 +0,5 3 +2,4 1 +3,5 6 -1
BuZz T1,11 1 +10,5 9 -4,6 7 -1,4 4 +0,4 8 -4
stax T1,6 8 -2,7 8 -1,5 4 +1,2 2 +0,6 7 -1
