,gyen DFM,Meiy DFM,Akame DFM,SSeeS DFM,Jinboong DFM
iZu T1,1 1 +0,0 3 -3,3 1 +2,1 1 +0,
Meteor T1,,1 0 +1,1 4 -3,1 1 +0,1 2 -1
DH T1,,1 1 +0,,,0 1 -1
BuZz T1,1 0 +1,0 2 -2,2 1 +1,2 0 +2,1 1 +0
stax T1,0 1 -1,1 2 -1,1 0 +1,,0 1 -1
