,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,1 3 -2,1 1 +0,3 1 +2,1 6 -5,3 4 -1
silentzz 2G,2 5 -3,1 3 -2,1 2 -1,3 1 +2,1 1 +0
lz 2G,1 2 -1,2 1 +1,2 4 -2,1 3 -2,2 4 -2
gobera 2G,1 0 +1,2 3 -1,0 5 -5,1 4 -3,1 4 -3
pryze 2G,0 4 -4,3 1 +2,1 6 -5,2 2 +0,2 4 -2
