,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,2 5 -3,3 3 +0,1 2 -1,4 4 +0,7 4 +3
silentzz 2G,1 0 +1,1 1 +0,,0 1 -1,0 3 -3
lz 2G,1 1 +0,0 1 -1,1 1 +0,1 0 +1,0 2 -2
gobera 2G,,,,0 1 -1,
pryze 2G,,1 0 +1,0 1 -1,,1 2 -1
