,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,5 13 -8,8 4 +4,13 6 +7,9 10 -1,11 10 +1
silentzz 2G,8 8 +0,10 7 +3,7 4 +3,7 10 -3,9 9 +0
lz 2G,4 8 -4,4 4 +0,3 10 -7,8 7 +1,5 6 -1
gobera 2G,5 2 +3,4 8 -4,4 11 -7,6 13 -7,4 10 -6
pryze 2G,4 11 -7,8 3 +5,6 16 -10,2 8 -6,5 9 -4
