,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,2 0 +2,1 1 +0,0 1 -1,2 1 +1,5 2 +3
silentzz 2G,,,,0 1 -1,
lz 2G,1 0 +1,0 1 -1,,1 0 +1,
gobera 2G,,,,0 1 -1,
pryze 2G,,1 0 +1,,,1 0 +1
