,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,3 3 +0,4 1 +3,5 3 +2,6 3 +3,6 5 +1
silentzz 2G,3 2 +1,5 1 +4,5 0 +5,2 6 -4,2 4 -2
lz 2G,2 4 -2,2 2 +0,,4 2 +2,2 0 +2
gobera 2G,4 0 +4,2 1 +1,3 3 +0,5 7 -2,2 3 -1
pryze 2G,4 4 +0,4 0 +4,5 6 -1,0 2 -2,3 3 +0
