,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,0 3 -3,1 1 +0,0 1 -1,1 3 -2,1 1 +0
silentzz 2G,,,,,
lz 2G,0 1 -1,,,,0 2 -2
gobera 2G,,,,,
pryze 2G,,,0 1 -1,,0 1 -1
