,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,1 7 -6,3 2 +1,5 2 +3,2 1 +1,2 1 +1
silentzz 2G,3 1 +2,4 3 +1,1 2 -1,2 3 -1,6 4 +2
lz 2G,1 2 -1,0 1 -1,1 6 -5,3 2 +1,1 2 -1
gobera 2G,0 2 -2,0 4 -4,1 3 -2,0 2 -2,1 3 -2
pryze 2G,0 3 -3,1 2 -1,0 4 -4,0 4 -4,0 2 -2
