,johnqt SEN,Zellsis SEN,bang SEN,N4RRATE SEN,zekken SEN
spike 2G,0 2 -2,1 1 +0,1 0 +1,1 0 +1,1 1 +0
silentzz 2G,1 0 +1,1 1 +0,,,0 3 -3
lz 2G,,,1 1 +0,,
gobera 2G,,,,,
pryze 2G,,,,,0 1 -1
