,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,6 5 +1,14 9 +5,8 7 +1,8 8 +0,8 9 -1
benjyfishy TH,8 8 +0,5 11 -6,9 7 +2,6 6 +0,5 5 +0
MiniBoo TH,10 10 +0,10 10 +0,15 8 +7,13 5 +8,11 7 +4
Boo TH,9 9 +0,7 11 -4,5 9 -4,5 6 -1,13 9 +4
Wo0t TH,10 6 +4,7 11 -4,8 9 -1,9 7 +2,8 8 +0
