,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,1 0 +1,5 0 +5,4 1 +3,3 2 +1,3 3 +0
benjyfishy TH,3 0 +3,1 3 -2,2 2 +0,2 2 +0,0 4 -4
MiniBoo TH,3 2 +1,3 1 +2,6 2 +4,5 1 +4,3 3 +0
Boo TH,3 2 +1,4 4 +0,0 5 -5,2 1 +1,5 1 +4
Wo0t TH,4 1 +3,0 4 -4,2 0 +2,3 2 +1,3 3 +0
