,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,,2 0 +2,1 0 +1,,1 1 +0
benjyfishy TH,1 0 +1,,,0 1 -1,
MiniBoo TH,1 0 +1,0 2 -2,1 0 +1,2 1 +1,1 1 +0
Boo TH,,,,1 0 +1,0 2 -2
Wo0t TH,,,1 0 +1,1 0 +1,1 1 +0
