,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,,2 1 +1,1 0 +1,,2 2 +0
benjyfishy TH,1 1 +0,,0 1 -1,0 1 -1,0 2 -2
MiniBoo TH,1 2 -1,1 2 -1,1 3 -2,3 1 +2,5 2 +3
Boo TH,2 0 +2,1 0 +1,1 0 +1,1 0 +1,3 4 -1
Wo0t TH,,2 0 +2,1 1 +0,2 2 +0,3 1 +2
