,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,3 2 +1,7 5 +2,2 3 -1,4 4 +0,4 2 +2
benjyfishy TH,4 1 +3,2 4 -2,5 2 +3,3 2 +1,4 1 +3
MiniBoo TH,4 4 +0,5 5 +0,6 2 +4,3 2 +1,5 4 +1
Boo TH,2 4 -2,1 3 -2,2 1 +1,3 2 +1,2 6 -4
Wo0t TH,4 2 +2,4 4 +0,4 5 -1,5 1 +4,4 5 -1
