,Foxy9 DRX,MaKo DRX,Flashback DRX,BeYN DRX,BuZz DRX
RieNs TH,2 3 -1,2 4 -2,2 3 -1,1 2 -1,1 4 -3
benjyfishy TH,1 7 -6,2 4 -2,2 3 -1,1 2 -1,1 0 +1
MiniBoo TH,3 4 -1,2 4 -2,3 4 -1,5 2 +3,3 0 +3
Boo TH,4 3 +1,2 4 -2,3 3 +0,0 3 -3,6 2 +4
Wo0t TH,2 3 -1,3 3 +0,2 4 -2,1 4 -3,1 0 +1
