,JonahP G2,leaf G2,valyn G2,trent G2,jawgemo G2
N4RRATE SEN,0 1 -1,1 0 +1,2 1 +1,,2 1 +1
bang SEN,,,,,1 0 +1
Zellsis SEN,,0 1 -1,,,
johnqt SEN,2 0 +2,,,,2 0 +2
zekken SEN,,1 0 +1,1 1 +0,,2 3 -1
