,JonahP G2,leaf G2,valyn G2,trent G2,jawgemo G2
N4RRATE SEN,,,,1 0 +1,0 1 -1
bang SEN,,,,1 0 +1,
Zellsis SEN,,,,,0 1 -1
johnqt SEN,,,,,1 0 +1
zekken SEN,,,,,1 0 +1
