,JonahP G2,leaf G2,valyn G2,trent G2,jawgemo G2
N4RRATE SEN,2 4 -2,3 4 -1,4 3 +1,2 4 -2,5 3 +2
bang SEN,2 3 -1,3 2 +1,2 4 -2,3 1 +2,5 4 +1
Zellsis SEN,2 5 -3,2 6 -4,7 2 +5,6 0 +6,1 3 -2
johnqt SEN,5 2 +3,5 3 +2,2 1 +1,4 6 -2,4 4 +0
zekken SEN,4 2 +2,2 4 -2,3 3 +0,0 4 -4,3 6 -3
