,JonahP G2,leaf G2,valyn G2,trent G2,jawgemo G2
N4RRATE SEN,,2 1 +1,,1 2 -1,3 2 +1
bang SEN,,,1 0 +1,1 0 +1,
Zellsis SEN,0 1 -1,,,,
johnqt SEN,,,0 1 -1,,
zekken SEN,1 0 +1,0 2 -2,1 0 +1,1 0 +1,0 1 -1
