,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,0 1 -1,,,,
f0rsakeN PRX,0 1 -1,,,,
something PRX,,,,0 2 -2,1 0 +1
Jinggg PRX,0 1 -1,,,,
d4v41 PRX,,,,0 1 -1,
