,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,,,,
f0rsakeN PRX,,,,0 2 -2,
something PRX,1 0 +1,1 0 +1,0 1 -1,,1 0 +1
Jinggg PRX,,,,0 2 -2,
d4v41 PRX,1 0 +1,2 0 +2,,0 2 -2,
