,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,,,,
f0rsakeN PRX,,,,0 1 -1,
something PRX,2 0 +2,,1 0 +1,2 1 +1,2 0 +2
Jinggg PRX,,,,0 1 -1,
d4v41 PRX,,,,0 2 -2,
