,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,4 2 +2,4 1 +3,3 3 +0,2 1 +1,1 3 -2
f0rsakeN PRX,5 3 +2,3 2 +1,2 2 +0,5 3 +2,3 5 -2
something PRX,2 4 -2,4 2 +2,2 3 -1,3 0 +3,3 2 +1
Jinggg PRX,3 3 +0,2 1 +1,3 4 -1,4 3 +1,2 2 +0
d4v41 PRX,2 0 +2,2 2 +0,4 1 +3,2 5 -3,4 3 +1
