,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,0 1 -1,,,,
f0rsakeN PRX,0 1 -1,,,0 3 -3,
something PRX,3 0 +3,1 0 +1,1 1 +0,2 3 -1,5 0 +5
Jinggg PRX,0 1 -1,,,0 3 -3,
d4v41 PRX,1 0 +1,2 0 +2,,0 5 -5,
