,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,,,,
f0rsakeN PRX,2 0 +2,0 1 -1,,1 1 +0,
something PRX,,2 0 +2,2 0 +2,1 0 +1,2 0 +2
Jinggg PRX,1 0 +1,1 3 -2,,2 0 +2,1 0 +1
d4v41 PRX,,,,0 1 -1,
