,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,7 11 -4,13 6 +7,14 11 +3,6 8 -2,8 16 -8
f0rsakeN PRX,19 9 +10,8 8 +0,13 11 +2,18 13 +5,12 16 -4
something PRX,11 9 +2,14 11 +3,14 9 +5,13 13 +0,17 5 +12
Jinggg PRX,10 12 -2,17 9 +8,8 10 -2,17 10 +7,13 11 +2
d4v41 PRX,11 4 +7,7 10 -3,8 6 +2,10 13 -3,10 11 -1
