,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,2 4 -2,3 1 +2,4 1 +3,1 1 +0,4 5 -1
f0rsakeN PRX,5 2 +3,2 3 -1,1 4 -3,5 4 +1,3 3 +0
something PRX,4 2 +2,4 4 +0,5 2 +3,4 3 +1,5 1 +4
Jinggg PRX,3 1 +2,6 6 +0,2 3 -1,4 2 +2,3 3 +0
d4v41 PRX,5 2 +3,1 2 -1,2 2 +0,4 2 +2,2 1 +1
