,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,0 1 -1,0 1 -1,0 2 -2,1 0 +1
f0rsakeN PRX,4 2 +2,0 1 -1,0 1 -1,5 2 +3,1 1 +0
something PRX,2 0 +2,5 4 +1,2 1 +1,4 4 +0,7 1 +6
Jinggg PRX,2 1 +1,2 3 -1,1 2 -1,5 0 +5,3 1 +2
d4v41 PRX,,,,1 4 -3,1 2 -1
