,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,1 2 -1,2 3 -1,4 3 +1,1 5 -4,0 4 -4
f0rsakeN PRX,3 3 +0,0 1 -1,5 4 +1,4 2 +2,3 3 +0
something PRX,2 2 +0,4 2 +2,2 3 -1,1 6 -5,6 1 +5
Jinggg PRX,1 7 -6,5 0 +5,3 1 +2,5 1 +4,3 4 -1
d4v41 PRX,2 2 +0,2 2 +0,0 2 -2,2 4 -2,1 6 -5
