,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,0 3 -3,4 1 +3,3 4 -1,2 1 +1,3 4 -1
f0rsakeN PRX,6 1 +5,3 2 +1,5 1 +4,4 4 +0,3 5 -2
something PRX,3 1 +2,2 3 -1,5 1 +4,5 4 +1,3 1 +2
Jinggg PRX,3 1 +2,4 2 +2,0 2 -2,4 4 +0,5 2 +3
d4v41 PRX,2 0 +2,2 4 -2,2 1 +1,2 2 +0,3 1 +2
