,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,,,0 1 -1,
f0rsakeN PRX,,,,1 0 +1,
something PRX,,1 1 +0,,0 2 -2,4 0 +4
Jinggg PRX,0 1 -1,,1 1 +0,1 0 +1,1 1 +0
d4v41 PRX,,,,,1 2 -1
