,crazyguy RRQ,Kushy RRQ,xffero RRQ,Jemkin RRQ,Monyet RRQ
PatMen PRX,,0 1 -1,,0 1 -1,1 0 +1
f0rsakeN PRX,1 0 +1,,,2 0 +2,0 1 -1
something PRX,1 0 +1,0 1 -1,0 1 -1,2 2 +0,1 1 +0
Jinggg PRX,,1 0 +1,,1 0 +1,1 0 +1
d4v41 PRX,,,,0 1 -1,
