,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,5 4 +1,6 1 +5,2 1 +1,3 5 -2,5 6 -1
Kushy RRQ,2 5 -3,5 3 +2,4 6 -2,4 1 +3,2 2 +0
xffero RRQ,3 3 +0,4 3 +1,4 6 -2,4 2 +2,4 5 -1
Monyet RRQ,4 3 +1,5 3 +2,4 3 +1,3 5 -2,4 7 -3
Jemkin RRQ,7 7 +0,1 2 -1,3 4 -1,8 3 +5,4 5 -1
