,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,0 2 -2,,,,
Kushy RRQ,0 1 -1,,,,0 1 -1
xffero RRQ,0 2 -2,,,,1 0 +1
Monyet RRQ,1 3 -2,1 0 +1,,,1 1 +0
Jemkin RRQ,0 3 -3,1 0 +1,,,
