,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,0 1 -1,,,,
Kushy RRQ,0 1 -1,,,,
xffero RRQ,0 1 -1,,,,1 0 +1
Monyet RRQ,1 2 -1,1 0 +1,,,1 0 +1
Jemkin RRQ,0 1 -1,,,,
