,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,2 0 +2,1 0 +1,,0 1 -1,
Kushy RRQ,,1 0 +1,,0 1 -1,
xffero RRQ,,1 1 +0,1 0 +1,,
Monyet RRQ,0 1 -1,1 0 +1,0 1 -1,2 1 +1,1 1 +0
Jemkin RRQ,3 3 +0,,,3 1 +2,1 0 +1
