,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,,,1 0 +1,1 0 +1,
Kushy RRQ,,,0 1 -1,1 0 +1,
xffero RRQ,1 1 +0,,,1 0 +1,
Monyet RRQ,0 1 -1,1 0 +1,,1 1 +0,1 1 +0
Jemkin RRQ,0 3 -3,2 0 +2,2 0 +2,,1 1 +0
