,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,2 3 -1,1 2 -1,3 2 +1,4 3 +1,2 4 -2
Kushy RRQ,4 5 -1,3 3 +0,2 4 -2,3 2 +1,2 3 -1
xffero RRQ,3 2 +1,3 4 -1,2 4 -2,4 3 +1,3 3 +0
Monyet RRQ,2 6 -4,3 0 +3,2 3 -1,4 1 +3,3 6 -3
Jemkin RRQ,7 5 +2,5 4 +1,2 4 -2,2 1 +1,4 5 -1
