,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,7 11 -4,8 8 +0,7 6 +1,13 10 +3,11 11 +0
Kushy RRQ,9 12 -3,8 10 -2,7 11 -4,11 8 +3,4 7 -3
xffero RRQ,8 6 +2,12 8 +4,7 11 -4,9 8 +1,8 16 -8
Monyet RRQ,10 11 -1,9 7 +2,9 6 +3,8 10 -2,9 18 -9
Jemkin RRQ,18 16 +2,8 8 +0,8 9 -1,11 9 +2,11 12 -1
