,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,0 2 -2,0 2 -2,1 0 +1,,
Kushy RRQ,1 0 +1,0 1 -1,,1 0 +1,
xffero RRQ,,1 1 +0,,,
Monyet RRQ,1 1 +0,,,,
Jemkin RRQ,2 2 +0,,,0 2 -2,
