,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,2 2 +0,1 2 -1,2 0 +2,1 1 +0,
Kushy RRQ,1 0 +1,1 1 +0,0 1 -1,2 1 +1,
xffero RRQ,1 1 +0,2 2 +0,1 0 +1,1 0 +1,
Monyet RRQ,1 3 -2,2 0 +2,0 1 -1,3 2 +1,2 2 +0
Jemkin RRQ,5 8 -3,2 0 +2,2 0 +2,3 3 +0,2 1 +1
