,Wild0reoo TS,2GE TS,JessieVash TS,Jremy TS,invy TS
crazyguy RRQ,0 4 -4,1 5 -4,2 3 -1,6 2 +4,4 1 +3
Kushy RRQ,3 2 +1,0 4 -4,1 1 +0,4 5 -1,0 2 -2
xffero RRQ,2 1 +1,5 1 +4,1 1 +0,1 3 -2,1 8 -7
Monyet RRQ,4 2 +2,1 4 -3,3 0 +3,1 4 -3,2 5 -3
Jemkin RRQ,4 4 +0,2 2 +0,3 1 +2,1 5 -4,3 2 +1
