Map,Round Number,Score,Winning Team,Winning Side,Win Method
2Bind,1,"""1-0""",EDG,Defenders,Elimination
2Bind,2,"""2-0""",EDG,Defenders,Time Expired
2Bind,3,"""2-1""",G2,Attackers,Spike Detonation
2Bind,4,"""3-1""",EDG,Defenders,Elimination
2Bind,5,"""4-1""",EDG,Defenders,Elimination
2Bind,6,"""4-2""",G2,Attackers,Elimination
2Bind,7,"""4-3""",G2,Attackers,Elimination
2Bind,8,"""5-3""",EDG,Defenders,Elimination
2Bind,9,"""6-3""",EDG,Defenders,Defuse
2Bind,10,"""7-3""",EDG,Defenders,Elimination
2Bind,11,"""8-3""",EDG,Defenders,Elimination
2Bind,12,"""8-4""",G2,Attackers,Elimination
2Bind,13,"""9-4""",G2,Attackers,Elimination
2Bind,14,"""9-5""",EDG,Defenders,Defuse
2Bind,15,"""9-6""",EDG,Defenders,Elimination
2Bind,16,"""9-7""",EDG,Defenders,Elimination
2Bind,17,"""9-8""",EDG,Defenders,Defuse
2Bind,18,"""10-8""",G2,Attackers,Spike Detonation
2Bind,19,"""11-8""",G2,Attackers,Elimination
2Bind,20,"""12-8""",G2,Attackers,Elimination
2Bind,21,"""13-8""",G2,Attackers,Elimination
2Bind,22,"""""",,,
2Bind,23,"""""",,,
2Bind,24,"""""",,,
