,Deryeon GE,kellyS GE,Papi GE,UdoTan GE,Kr1stal GE
ban TLN,0 1 -1,0 1 -1,1 0 +1,0 1 -1,
JitBoyS TLN,2 1 +1,1 0 +1,,2 0 +2,0 1 -1
Governor TLN,1 1 +0,,1 1 +0,2 0 +2,1 1 +0
Crws TLN,,,,,
primmie TLN,2 0 +2,,,,
