,Deryeon GE,kellyS GE,Papi GE,UdoTan GE,Kr1stal GE
ban TLN,0 1 -1,,,,
JitBoyS TLN,,,,,
Governor TLN,,,,2 0 +2,2 0 +2
Crws TLN,0 1 -1,,,,
primmie TLN,0 2 -2,,,,
