,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,,,,,
Wo0t TH,2 1 +1,2 0 +2,1 0 +1,3 0 +3,2 0 +2
MiniBoo TH,2 0 +2,,4 0 +4,1 0 +1,
RieNs TH,,,,,0 1 -1
Boo TH,,,,,
