,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,3 1 +2,0 2 -2,3 5 -2,1 3 -2,2 4 -2
Wo0t TH,2 3 -1,3 1 +2,1 4 -3,2 2 +0,2 1 +1
MiniBoo TH,2 1 +1,1 2 -1,3 4 -1,3 3 +0,2 4 -2
RieNs TH,4 5 -1,0 6 -6,0 1 -1,1 1 +0,1 3 -2
Boo TH,0 4 -4,2 2 +0,0 2 -2,0 2 -2,0 2 -2
