,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Boo TH,,4 Round 12 Cloud westside Round 17 Flickless grubinho Round 21 ara westside Round 22 Cloud westside,1 Round 19 MiniBoo Cloud Flickless,,,1 Round 19 Flickless,1 Round 17 grubinho Cloud,,,,56,6,3
RieNs TH,,3 Round 3 westside ara Round 14 westside Flickless Round 18 Cloud Flickless,,,,1 Round 21 Cloud,,1 Round 18 westside Flickless Cloud,,,51,0,1
MiniBoo TH,,2 Round 14 ara Cloud Round 21 Flickless grubinho,3 Round 5 ara grubinho Flickless Round 19 westside ara grubinho Round 20 Flickless grubinho ara,,,,,,,,54,0,2
Wo0t TH,,,,1 Round 8 westside grubinho Cloud Flickless,,,,,,,40,0,0
benjyfishy TH,,2 Round 13 ara westside Round 22 grubinho Flickless,1 Round 12 grubinho Flickless ara,,,1 Round 5 Cloud,,,,,47,2,1
Cloud GX,,7 Round 4 RieNs MiniBoo Round 5 MiniBoo RieNs Round 13 benjyfishy RieNs Round 15 MiniBoo RieNs Round 17 benjyfishy Boo Round 18 MiniBoo benjyfishy Round 21 MiniBoo Boo,,,,,,,,,62,6,0
grubinho GX,,5 Round 2 RieNs Wo0t Round 7 benjyfishy Wo0t Round 9 Boo Wo0t Round 11 MiniBoo benjyfishy Round 17 Wo0t RieNs,,,,,,,,,47,1,0
Flickless GX,,1 Round 1 RieNs MiniBoo,1 Round 19 Wo0t RieNs benjyfishy,,,,,,,,62,2,1
ara GX,,3 Round 1 benjyfishy Wo0t Round 2 benjyfishy Boo Round 5 Boo Wo0t,,,,,,,,,35,0,2
westside GX,,4 Round 4 benjyfishy Boo Round 6 Boo benjyfishy Round 11 Wo0t Boo Round 22 RieNs MiniBoo,1 Round 15 benjyfishy Wo0t Boo,1 Round 16 benjyfishy MiniBoo RieNs Boo,,,,,,,54,0,1
