,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,,,,,
Wo0t TH,1 1 +0,1 0 +1,,2 0 +2,1 0 +1
MiniBoo TH,1 0 +1,,,,
RieNs TH,,,,,0 1 -1
Boo TH,,,,,
