,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,1 1 +0,,0 1 -1,2 1 +1,1 0 +1
Wo0t TH,1 1 +0,0 1 -1,0 1 -1,0 1 -1,
MiniBoo TH,1 1 +0,0 1 -1,1 0 +1,0 1 -1,0 1 -1
RieNs TH,1 0 +1,0 1 -1,,,
Boo TH,0 1 -1,,1 0 +1,,
