,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,3 3 +0,2 0 +2,2 4 -2,2 1 +1,2 0 +2
Wo0t TH,2 0 +2,4 3 +1,3 1 +2,2 1 +1,2 3 -1
MiniBoo TH,2 3 -1,2 4 -2,5 1 +4,5 1 +4,3 2 +1
RieNs TH,5 1 +4,3 4 -1,3 2 +1,6 1 +5,6 0 +6
Boo TH,2 3 -1,4 2 +2,2 2 +0,,1 3 -2
