,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,2 1 +1,,0 1 -1,2 1 +1,1 0 +1
Wo0t TH,1 3 -2,1 1 +0,1 2 -1,1 2 -1,1 2 -1
MiniBoo TH,3 2 +1,0 1 -1,4 0 +4,2 2 +0,0 4 -4
RieNs TH,2 2 +0,0 2 -2,,2 0 +2,
Boo TH,0 2 -2,1 1 +0,1 1 +0,,
