,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,2 3 -1,2 1 +1,2 6 -4,5 4 +1,1 3 -2
Wo0t TH,3 4 -1,2 3 -1,5 3 +2,1 6 -5,5 1 +4
MiniBoo TH,6 1 +5,5 5 +0,1 3 -2,5 1 +4,2 6 -4
RieNs TH,4 0 +4,3 5 -2,3 3 +0,2 4 -2,2 5 -3
Boo TH,2 2 +0,4 3 +1,4 5 -1,3 1 +2,3 3 +0
