,ara GX,Flickless GX,westside GX,grubinho GX,Cloud GX
benjyfishy TH,8 7 +1,4 3 +1,7 15 -8,8 8 +0,5 7 -2
Wo0t TH,7 7 +0,9 7 +2,9 8 +1,5 9 -4,9 5 +4
MiniBoo TH,10 5 +5,8 11 -3,9 8 +1,13 5 +8,7 12 -5
RieNs TH,13 6 +7,6 15 -9,6 6 +0,9 6 +3,9 8 +1
Boo TH,4 9 -5,10 7 +3,6 9 -3,3 3 +0,4 8 -4
