,tuyz LOUD,v1nny LOUD,cauanzin LOUD,dgzin LOUD,pANcada LOUD
icy EG,,1 0 +1,2 0 +2,2 2 +0,1 0 +1
supamen EG,,,,0 1 -1,
Derrek EG,,,,,
NaturE EG,,,,,
yay EG,,,,0 1 -1,
