,tuyz LOUD,v1nny LOUD,cauanzin LOUD,dgzin LOUD,pANcada LOUD
icy EG,2 2 +0,0 1 -1,1 2 -1,1 3 -2,
supamen EG,0 1 -1,1 0 +1,1 1 +0,1 2 -1,
Derrek EG,1 1 +0,,1 2 -1,1 3 -2,
NaturE EG,,1 0 +1,1 0 +1,1 1 +0,2 1 +1
yay EG,1 0 +1,1 1 +0,4 0 +4,2 4 -2,0 1 -1
