,heat KRÜ,Melser KRÜ,Shyy KRÜ,keznit KRÜ,mta KRÜ
Foxy9 DRX,,,,,0 1 -1
BuZz DRX,1 0 +1,1 0 +1,1 0 +1,1 1 +0,0 1 -1
MaKo DRX,0 1 -1,1 0 +1,,,2 0 +2
BeYN DRX,,,,1 1 +0,1 0 +1
Flashback DRX,,,3 1 +2,1 0 +1,
